property_id,transaction_date,property_type,sale_price,purchase_price,buyer_name,seller_name,agent_name,commission_rate,profit
1,10/1/2021,condo,653373.06,662630.16,Berthe Jouanot,Foster Marsy,Hodge McFaul,0.02,-9257.1
2,10/8/2020,apartment,728074.72,963319.61,Sayer Sanchiz,Fidelity Inskipp,Wynnie Corke,0.02,-235244.89
3,11/29/2021,condo,365788.88,261962.98,Joellen Massimo,Sonnie Abrahamson,Ardene Andryushchenko,0.06,103825.9
4,11/4/2021,condo,954816.35,509242.99,Orren Josum,Kalinda McNabb,Pavla Bartoleyn,0.07,445573.36
5,6/23/2020,house,288099.35,240156.97,Tallou Keenor,Skyler Durban,Louie Ruler,0.06,47942.38
6,9/16/2020,apartment,641315.32,674619.05,Jule Beggio,Jeth Calvey,Dore Saich,0.02,-33303.73
7,4/22/2021,apartment,374911.67,778133.9,Reinaldos Sindle,Patti Cornish,Merrill McAvinchey,0.09,-403222.23
8,2/23/2020,apartment,768777.77,510317.28,Robbie Karpf,Skelly Sewell,Nissy Cavy,0.03,258460.49
9,1/17/2020,apartment,674326.88,293845.4,Montague Cardiff,Wenonah Bilbrooke,Ianthe Noden,0.1,380481.48
10,2/5/2021,house,491245.67,711407.07,Dean Antoney,Jerrylee Papes,Janeen Kittle,0.07,-220161.4
11,4/27/2020,townhouse,144489.11,328020.21,Bay Sadler,Loydie Takis,Lydie Chesterton,0.1,-183531.1
12,6/27/2020,townhouse,572844.36,719195.39,Ernesta Collie,Fawne Barbara,Roana Wheelton,0.05,-146351.03
13,4/22/2021,condo,173061.01,806838.08,Baron Lowe,Clemmy Anand,Brnaba Dalziell,0.03,-633777.07
14,4/8/2021,condo,598028.24,314755.16,Marco Wysome,Nobie Dobrovsky,Wang Steenson,0.08,283273.08
15,1/23/2020,condo,373546.56,626507.04,Ali Cregin,Caitrin MacGowan,Vivie Highwood,0.08,-252960.48
16,11/17/2021,condo,507532.43,387715.09,Cristabel Archard,Mattie Canniffe,Olivier Yegorov,0.07,119817.34
17,9/30/2021,apartment,307877.18,296314.71,Abbey Poon,Terrye Mingardo,Peria Laba,0.06,11562.47
18,7/25/2020,apartment,764237.27,363007.94,Robby Mussotti,Rebe Balcock,Vania Marjoram,0.06,401229.33
19,4/16/2020,house,875312.26,482073.84,Calypso McCarrick,Rakel Spileman,Veronica Batram,0.05,393238.42
20,7/26/2021,townhouse,755015.33,389889.97,Marlena MacCrann,Jonathan Duinkerk,Katharyn Wickes,0.01,365125.36
21,10/18/2020,apartment,898704.34,681647.98,Hedwig Nutley,Sonni Harbord,Stafani Mangham,0.07,217056.36
22,2/6/2020,condo,976636.21,76141.76,Travis Purtell,Emelda Cristea,Kariotta Sancho,0.08,900494.45
23,12/6/2020,apartment,517220.54,491399.18,Albrecht Eric,Reinwald Denisard,Rasla Fairpool,0.04,25821.36
24,4/14/2020,house,679031.7,158983.72,Gib Gatus,Katy Trodler,Misha Knightly,0.06,520047.98
25,6/1/2020,house,895412.09,564646.32,Bethina Brambell,Thibaud Dunckley,August Fitton,0.05,330765.77
26,3/25/2021,townhouse,459179.39,325344.33,Odelle Kellough,Susette Gurge,Maureene Walder,0.07,133835.06
27,9/15/2021,house,660906.8,86859.2,Jolene Pottinger,Dorthea Thick,Xymenes Locket,0.09,574047.6
28,4/11/2021,house,189587.85,800004.35,Dulcinea Molnar,Elaina Webley,Carmel Mowat,0.09,-610416.5
29,5/3/2021,apartment,171294.24,254648.09,Betti Liverseege,Lindy Monument,Hastings Sweetland,0.09,-83353.85
