person_id,first_name,last_name,age,gender,income,education_level,employment_status,marital_status,housing_type,customer_id,credit_score,credit_limit,outstanding_debt,payment_history,loan_purpose,loan_amount,loan_term
1,Melamie,Pendle,61,Female,Ruble,Bachelor's Degree,Employed,Widowed,Own,1,845,75118.65,42339.99,on-time,debt consolidation,54814.63,12
2,Hodge,Tadlow,35,Male,Hryvnia,Bachelor's Degree,Unemployed,Single,Rent,2,350,86192.01,11283.44,missed,home improvement,96900.95,24
3,Solomon,Auletta,63,Male,Dirham,Bachelor's Degree,Self-Employed,Married,Own,3,456,17673.27,29675.15,on-time,home improvement,43425.18,18
4,Rosana,Kann,69,Female,Euro,Master's Degree,Self-Employed,Single,Rent,4,469,44183.19,2780.82,missed,debt consolidation,42335.32,27
5,Ab,Tschierasche,48,Male,Koruna,High School Diploma,Unemployed,Divorced,Mortgage,5,448,72783.18,18498.55,missed,home improvement,31531.47,5
6,Bayard,Mossbee,18,Male,Yuan Renminbi,Master's Degree,Employed,Single,Mortgage,6,663,58785.33,1.26,missed,home improvement,53364.96,19
7,Stacee,Belton,84,Male,Sol,Master's Degree,Self-Employed,Single,Mortgage,7,551,12732.28,22696.4,late,home improvement,4158.36,29
8,Gipsy,Marzelle,37,Female,Dong,High School Diploma,Unemployed,Widowed,Mortgage,8,621,88782.9,26113.78,missed,debt consolidation,1826.73,14
9,Phillip,Pimlett,85,Male,Baht,Bachelor's Degree,Employed,Widowed,Own,9,392,12526.22,25612.32,late,home improvement,87527.16,17
10,Selina,Eborall,42,Female,Peso,High School Diploma,Self-Employed,Single,Own,10,577,85172.51,34619.74,missed,home improvement,67136.03,1
11,Simeon,Reilingen,18,Male,Euro,High School Diploma,Self-Employed,Divorced,Mortgage,11,786,59046.03,38030.98,missed,home improvement,42330.51,15
12,Elita,Costock,84,Female,Yuan Renminbi,High School Diploma,Self-Employed,Divorced,Own,12,316,56394.12,2845.62,late,home improvement,24770.82,18
13,Matty,Knok,73,Agender,Real,Master's Degree,Unemployed,Widowed,Own,13,734,39011.72,49900.57,on-time,medical expenses,92647.58,10
14,Gerik,Amor,74,Male,Peso,High School Diploma,Self-Employed,Married,Mortgage,14,701,90184.59,2740.02,missed,medical expenses,33215.15,14
15,Saudra,Simonou,66,Female,Rupiah,Bachelor's Degree,Employed,Widowed,Mortgage,15,446,68297.63,40069.19,late,debt consolidation,94512.15,26
16,Leslie,McTrustam,32,Female,Peso,Bachelor's Degree,Employed,Widowed,Own,16,690,73320.74,30589.14,missed,debt consolidation,41959.35,18
17,Kristopher,Gaylor,55,Male,Peso,High School Diploma,Employed,Divorced,Rent,17,678,76202.73,41482.83,late,medical expenses,47324.52,17
18,Etan,Eilhertsen,81,Genderfluid,Euro,High School Diploma,Employed,Widowed,Mortgage,18,383,60701.12,3639.31,on-time,medical expenses,68538.25,6
19,Shanta,Message,26,Female,Yuan Renminbi,PhD,Self-Employed,Widowed,Own,19,428,11421.09,3939.27,missed,home improvement,22849.31,13
20,Ned,Belhome,32,Male,Marka,PhD,Unemployed,Single,Mortgage,20,434,42658.94,24384.27,late,home improvement,34854.33,27
21,Olga,Canning,57,Female,Dollar,Bachelor's Degree,Unemployed,Single,Own,21,733,41055.19,48985.13,on-time,medical expenses,12428.39,21
22,Marysa,Wermerling,32,Female,Ariary,High School Diploma,Employed,Married,Rent,22,477,51844.94,21116.44,missed,debt consolidation,38485.82,25
23,Yuma,Geertsen,77,Polygender,Ruble,Bachelor's Degree,Unemployed,Single,Own,23,715,41719.81,36290.36,on-time,debt consolidation,46464.03,24
24,Celene,Bewfield,32,Genderqueer,Zloty,Master's Degree,Self-Employed,Married,Mortgage,24,303,42459.18,36897.39,on-time,debt consolidation,62574.69,7
25,Wilmette,Dymidowski,18,Female,Peso,Bachelor's Degree,Employed,Divorced,Own,25,590,44322.39,30669.63,late,medical expenses,46157.44,20
26,Odelinda,Balderson,52,Polygender,Taka,Master's Degree,Unemployed,Married,Own,26,309,66081.8,12729.61,late,medical expenses,99245.41,16
27,Nils,Faux,52,Male,Peso,High School Diploma,Employed,Widowed,Own,27,613,70684.99,10492.9,late,debt consolidation,99138.62,14
28,Bart,Lucock,81,Male,Quetzal,Bachelor's Degree,Employed,Married,Own,28,557,67389.19,48410.86,on-time,home improvement,85145.68,11
29,Zaneta,Mongan,63,Female,Rupiah,Bachelor's Degree,Employed,Widowed,Rent,29,380,88617.93,33965.09,late,medical expenses,10627.24,16
30,Pamella,Richards,77,Female,Real,High School Diploma,Self-Employed,Divorced,Own,30,359,74861.43,44382.01,late,home improvement,57498.72,8
